ID,JokeText,Category,Rating
1,Why don't skeletons fight each other? They don't have the guts.,Dad Jokes,4
2,What do you call fake spaghetti? An impasta!,Puns,5
3,I told my wife she was drawing her eyebrows too high. She looked surprised.,Relationship,4
4,Why don't some couples go to the gym? Because some relationships don't work out.,Relationship,3
5,I'm reading a book about anti-gravity. It's impossible to put down!,Science,5
6,What do you call cheese that isn't yours? Nacho cheese.,Food,4
7,Parallel lines have so much in common. It’s a shame they’ll never meet.,Math,4
8,Why did the scarecrow win an award? Because he was outstanding in his field!,Classic,5
9,Why don't eggs tell jokes? They'd crack each other up.,Food,3
10,"I'm on a seafood diet. I see food, and I eat it.",Food,3
11,What did one wall say to the other? I'll meet you at the corner.,Classic,4
12,Why was the math book sad? It had too many problems.,Math,4
13,Why did the golfer bring extra pants? In case he got a hole in one.,Sports,5
14,Did you hear about the claustrophobic astronaut? He needed a little space.,Science,4
15,Why did the bicycle fall over? It was two-tired.,Classic,3
16,"I used to play piano by ear, but now I use my hands.",Music,4
17,What do you get if you cross a snowman and a vampire? Frostbite.,Seasonal,3
18,Why don’t ants get sick? Because they have tiny ant-bodies.,Animals,4
19,I only know 25 letters of the alphabet. I don’t know y.,Puns,5
20,What’s orange and sounds like a parrot? A carrot.,Puns,5
